snapshot_date,(All),,
,,,
Row Labels,Sum of stock_on_hand,Sum of inventory_value,
1001,5919,0,
Healthy,5919,0,
1002,7783,0,
Healthy,7783,0,
1003,7089,0,
Healthy,7089,0,
1004,9963,0,
Healthy,9963,0,
1005,7182,0,
Healthy,7182,0,
1006,8453,0,
Healthy,8453,0,
1007,5874,0,
Healthy,5874,0,
1008,7055,0,
Healthy,7055,0,
1009,4380,0,
Healthy,4380,0,
1010,10543,0,
Healthy,10543,0,
1011,7557,0,
Healthy,7557,0,s
1012,9048,0,
Healthy,9048,0,
1013,10465,0,
Healthy,10465,0,
1014,8329,0,
Healthy,8329,0,
1015,7588,0,
Healthy,7588,0,
1016,9900,0,
Healthy,9900,0,
1017,5874,0,
Healthy,5874,0,
1018,5930,0,
Healthy,5930,0,
1019,4947,0,
Healthy,4947,0,
1020,7940,0,
Healthy,7940,0,
1021,10419,0,
Healthy,10419,0,
1022,6785,0,
Healthy,6785,0,
1023,6759,0,
Healthy,6759,0,
1024,9905,0,
Healthy,9905,0,
1025,5722,0,
Healthy,5722,0,
1026,6079,0,
Healthy,6079,0,
1027,8461,0,
Healthy,8461,0,
1028,6357,0,
Healthy,6357,0,
1029,10788,0,
Healthy,10788,0,
1030,7802,0,
Healthy,7802,0,
1031,8598,0,
Healthy,8598,0,
1032,7979,0,
Healthy,7979,0,
1033,6538,0,
Healthy,6538,0,
1034,6433,0,
Healthy,6433,0,
1035,4892,0,
Healthy,4892,0,
1036,4854,0,
Healthy,4854,0,
1037,4485,0,
Healthy,4485,0,
1038,5082,0,
Healthy,5082,0,
1039,8621,0,
Healthy,8621,0,
1040,5512,0,
Healthy,5512,0,
1041,8349,0,
Healthy,8349,0,
1042,10620,0,
Healthy,10620,0,
1043,5346,0,
Healthy,5346,0,
1044,9475,0,
Healthy,9475,0,
1045,4269,0,
Healthy,4269,0,
1046,7431,0,
Healthy,7431,0,
1047,5799,0,
Healthy,5799,0,
1048,8311,0,
Healthy,8311,0,
1049,5464,0,
Healthy,5464,0,
1050,8325,0,
Healthy,8325,0,
1051,4808,0,
Healthy,4808,0,
1052,7719,0,
Healthy,7719,0,
1053,8866,0,
Healthy,8866,0,
1054,9490,0,
Healthy,9490,0,
1055,6976,0,
Healthy,6976,0,
1056,8059,0,
Healthy,8059,0,
1057,10394,0,
Healthy,10394,0,
1058,7519,0,
Healthy,7519,0,
1059,5354,0,
Healthy,5354,0,
1060,5733,0,
Healthy,5733,0,
1061,6647,0,
Healthy,6647,0,
1062,6902,0,
Healthy,6902,0,
1063,9011,0,
Healthy,9011,0,
1064,9040,0,
Healthy,9040,0,
1065,4849,0,
Healthy,4849,0,
1066,6583,0,
Healthy,6583,0,
1067,9605,0,
Healthy,9605,0,
1068,4732,0,
Healthy,4732,0,
1069,8697,0,
Healthy,8697,0,
1070,10620,0,
Healthy,10620,0,
1071,11343,0,
Healthy,11343,0,
1072,5314,0,
Healthy,5314,0,
1073,4836,0,
Healthy,4836,0,
1074,7038,0,
Healthy,7038,0,
1075,9614,0,
Healthy,9614,0,
1076,8633,0,
Healthy,8633,0,
1077,6381,0,
Healthy,6381,0,
1078,5327,0,
Healthy,5327,0,
1079,8550,0,
Healthy,8550,0,
1080,8442,0,
Healthy,8442,0,
1081,8662,0,
Healthy,8662,0,
1082,6804,0,
Healthy,6804,0,
1083,7593,0,
Healthy,7593,0,
1084,6098,0,
Healthy,6098,0,
1085,7300,0,
Healthy,7300,0,
1086,11787,0,
Healthy,11787,0,
1087,7933,0,
Healthy,7933,0,
1088,6694,0,
Healthy,6694,0,
1089,4672,0,
Healthy,4672,0,
1090,7425,0,
Healthy,7425,0,
1091,8299,0,
Healthy,8299,0,
1092,6180,0,
Healthy,6180,0,
1093,9149,0,
Healthy,9149,0,
1094,10898,0,
Healthy,10898,0,
1095,8394,0,
Healthy,8394,0,
1096,4559,0,
Healthy,4559,0,
1097,8265,0,
Healthy,8265,0,
1098,4979,0,
Healthy,4979,0,
1099,7420,0,
Healthy,7420,0,
1100,5688,0,
Healthy,5688,0,
1101,7829,0,
Healthy,7829,0,
1102,8746,0,
Healthy,8746,0,
1103,8412,0,
Healthy,8412,0,
1104,10990,0,
Healthy,10990,0,
1105,8876,0,
Healthy,8876,0,
1106,9450,0,
Healthy,9450,0,
1107,5227,0,
Healthy,5227,0,
1108,8183,0,
Healthy,8183,0,
1109,4915,0,
Healthy,4915,0,
1110,10379,0,
Healthy,10379,0,
1111,8459,0,
Healthy,8459,0,
1112,6850,0,
Healthy,6850,0,
1113,8548,0,
Healthy,8548,0,
1114,5278,0,
Healthy,5278,0,
1115,6689,0,
Healthy,6689,0,
1116,7554,0,
Healthy,7554,0,
1117,7685,0,
Healthy,7685,0,
1118,7316,0,
Healthy,7316,0,
1119,9845,0,
Healthy,9845,0,
1120,10795,0,
Healthy,10795,0,
1121,10212,0,
Healthy,10212,0,
1122,7078,0,
Healthy,7078,0,
1123,8892,0,
Healthy,8892,0,
1124,7384,0,
Healthy,7384,0,
1125,6533,0,
Healthy,6533,0,
1126,10130,0,
Healthy,10130,0,
1127,10411,0,
Healthy,10411,0,
1128,9979,0,
Healthy,9979,0,
1129,5485,0,
Healthy,5485,0,
1130,8394,0,
Healthy,8394,0,
1131,7367,0,
Healthy,7367,0,
1132,9190,0,
Healthy,9190,0,
1133,4714,0,
Healthy,4714,0,
1134,5700,0,
Healthy,5700,0,
1135,6718,0,
Healthy,6718,0,
1136,7049,0,
Healthy,7049,0,
1137,8635,0,
Healthy,8635,0,
1138,6086,0,
Healthy,6086,0,
1139,7018,0,
Healthy,7018,0,
1140,7639,0,
Healthy,7639,0,
1141,7983,0,
Healthy,7983,0,
1142,4680,0,
Healthy,4680,0,
1143,7607,0,
Healthy,7607,0,
1144,7214,0,
Healthy,7214,0,
1145,6393,0,
Healthy,6393,0,
1146,7552,0,
Healthy,7552,0,
1147,9530,0,
Healthy,9530,0,
1148,6849,0,
Healthy,6849,0,
1149,4365,0,
Healthy,4365,0,
1150,4801,0,
Healthy,4801,0,
1151,5174,0,
Healthy,5174,0,
1152,6448,0,
Healthy,6448,0,
1153,4723,0,
Healthy,4723,0,
1154,6856,0,
Healthy,6856,0,
1155,5165,0,
Healthy,5165,0,
1156,6814,0,
Healthy,6814,0,
1157,6196,0,
Healthy,6196,0,
1158,8483,0,
Healthy,8483,0,
1159,4859,0,
Healthy,4859,0,
1160,8859,0,
Healthy,8859,0,
1161,4489,0,
Healthy,4489,0,
1162,8058,0,
Healthy,8058,0,
1163,6520,0,
Healthy,6520,0,
1164,5465,0,
Healthy,5465,0,
1165,6716,0,
Healthy,6716,0,
1166,11938,0,
Healthy,11938,0,
1167,9257,0,
Healthy,9257,0,
1168,8628,0,
Healthy,8628,0,
1169,7931,0,
Healthy,7931,0,
1170,7467,0,
Healthy,7467,0,
1171,6625,0,
Healthy,6625,0,
1172,4294,0,
Healthy,4294,0,
1173,5326,0,
Healthy,5326,0,
1174,5097,0,
Healthy,5097,0,
1175,5685,0,
Healthy,5685,0,
1176,7865,0,
Healthy,7865,0,
1177,8823,0,
Healthy,8823,0,
1178,10284,0,
Healthy,10284,0,
1179,5762,0,
Healthy,5762,0,
1180,10454,0,
Healthy,10454,0,
1181,7524,0,
Healthy,7524,0,
1182,8983,0,
Healthy,8983,0,
1183,4443,0,
Healthy,4443,0,
1184,9124,0,
Healthy,9124,0,
1185,7186,0,
Healthy,7186,0,
1186,7209,0,
Healthy,7209,0,
1187,7892,0,
Healthy,7892,0,
1188,12189,0,
Healthy,12189,0,
1189,4564,0,
Healthy,4564,0,
1190,7965,0,
Healthy,7965,0,
1191,7494,0,
Healthy,7494,0,
1192,7027,0,
Healthy,7027,0,
1193,9107,0,
Healthy,9107,0,
1194,7913,0,
Healthy,7913,0,
1195,8752,0,
Healthy,8752,0,
1196,10403,0,
Healthy,10403,0,
1197,5033,0,
Healthy,5033,0,
1198,7509,0,
Healthy,7509,0,
1199,5228,0,
Healthy,5228,0,
1200,9043,0,
Healthy,9043,0,
Grand Total,1491623,0,
