promo_name,start_date,end_date,discount_pct,promo_type,promo_id,promotion_duration_days
Ramadan Sale 2021,2021-04-13,2021-05-12,25,Ramadan,1,30
Eid Al Fitr Sale 2021,2021-05-13,2021-05-15,20,Eid,2,3
Eid Al Adha Sale 2021,2021-07-20,2021-07-22,25,Eid,3,3
Dubai Shopping Festival 2021,2021-01-01,2021-02-28,15,DSF,4,59
Black Friday 2021,2021-11-26,2021-11-28,30,Black Friday,5,3
UAE National Day 2021,2021-12-01,2021-12-03,20,National Day,6,3
Summer Sale 2021,2021-07-01,2021-08-31,10,Summer Sale,7,62
Ramadan Sale 2022,2022-04-02,2022-05-01,25,Ramadan,8,30
Eid Al Fitr Sale 2022,2022-05-02,2022-05-04,25,Eid,9,3
Eid Al Adha Sale 2022,2022-07-10,2022-07-12,25,Eid,10,3
Dubai Shopping Festival 2022,2022-01-01,2022-02-28,25,DSF,11,59
Black Friday 2022,2022-11-25,2022-11-27,35,Black Friday,12,3
UAE National Day 2022,2022-12-01,2022-12-03,10,National Day,13,3
Summer Sale 2022,2022-07-01,2022-08-31,10,Summer Sale,14,62
Ramadan Sale 2023,2023-03-23,2023-04-20,20,Ramadan,15,29
Eid Al Fitr Sale 2023,2023-04-21,2023-04-23,25,Eid,16,3
Eid Al Adha Sale 2023,2023-06-29,2023-07-01,20,Eid,17,3
Dubai Shopping Festival 2023,2023-01-01,2023-02-28,15,DSF,18,59
Black Friday 2023,2023-11-24,2023-11-26,35,Black Friday,19,3
UAE National Day 2023,2023-12-01,2023-12-03,15,National Day,20,3
Summer Sale 2023,2023-07-01,2023-08-31,20,Summer Sale,21,62
Ramadan Sale 2024,2024-03-11,2024-04-09,15,Ramadan,22,30
Eid Al Fitr Sale 2024,2024-04-10,2024-04-12,20,Eid,23,3
Eid Al Adha Sale 2024,2024-06-17,2024-06-19,30,Eid,24,3
Dubai Shopping Festival 2024,2024-01-01,2024-02-28,15,DSF,25,59
Black Friday 2024,2024-11-29,2024-12-01,35,Black Friday,26,3
UAE National Day 2024,2024-12-01,2024-12-03,15,National Day,27,3
Summer Sale 2024,2024-07-01,2024-08-31,10,Summer Sale,28,62
Ramadan Sale 2025,2025-03-01,2025-03-30,30,Ramadan,29,30
Eid Al Fitr Sale 2025,2025-03-31,2025-04-02,30,Eid,30,3
Eid Al Adha Sale 2025,2025-06-07,2025-06-09,25,Eid,31,3
Dubai Shopping Festival 2025,2025-01-01,2025-02-28,15,DSF,32,59
Summer Sale 2025,2025-07-01,2025-08-31,10,Summer Sale,33,62
